filename,width,height,class,xmin,ymin,xmax,ymax
resize_image10.jpg,509,359,eye,179,169,225,187
resize_image10.jpg,509,359,eye,275,155,310,180
resize_image10.jpg,509,359,nose,225,203,288,235
resize_image10.jpg,509,359,mouth,213,244,306,288
resize_image11.jpg,509,348,eye,138,196,182,215
resize_image11.jpg,509,348,eye,226,158,269,179
resize_image11.jpg,509,348,nose,193,219,246,259
resize_image11.jpg,509,348,mouth,194,268,271,294
resize_image12.jpg,509,400,eye,160,168,207,193
resize_image12.jpg,509,400,eye,253,171,287,194
resize_image12.jpg,509,400,nose,201,210,251,244
resize_image12.jpg,509,400,mouth,187,262,261,292
resize_image13.jpg,509,340,eye,216,157,259,180
resize_image13.jpg,509,340,eye,304,151,335,172
resize_image13.jpg,509,340,nose,258,192,316,222
resize_image13.jpg,509,340,mouth,248,227,320,264
resize_image14.jpg,509,386,eye,218,178,272,206
resize_image14.jpg,509,386,eye,326,174,376,202
resize_image14.jpg,509,386,nose,273,234,327,279
resize_image14.jpg,509,386,mouth,264,302,337,327
resize_image15.jpg,509,339,eye,173,144,216,164
resize_image15.jpg,509,339,eye,262,147,306,168
resize_image15.jpg,509,339,nose,217,170,260,207
resize_image15.jpg,509,339,mouth,209,224,270,251
resize_image16.jpg,509,357,eye,130,126,163,146
resize_image16.jpg,509,357,eye,209,127,242,149
resize_image16.jpg,509,357,nose,153,154,197,187
resize_image16.jpg,509,357,mouth,143,196,204,234
resize_image17.jpg,509,357,eye,164,116,204,134
resize_image17.jpg,509,357,eye,250,113,294,138
resize_image17.jpg,509,357,nose,201,147,255,179
resize_image17.jpg,509,357,mouth,182,193,268,238
resize_image18.jpg,509,395,eye,209,181,268,207
resize_image18.jpg,509,395,eye,326,176,375,201
resize_image18.jpg,509,395,nose,277,222,332,267
resize_image18.jpg,509,395,mouth,257,285,343,330
resize_image19.jpg,509,330,eye,155,101,196,124
resize_image19.jpg,509,330,eye,255,94,299,117
resize_image19.jpg,509,330,nose,187,143,262,175
resize_image19.jpg,509,330,mouth,175,193,289,244
resize_image20.jpg,509,378,eye,172,124,235,163
resize_image20.jpg,509,378,eye,307,132,362,163
resize_image20.jpg,509,378,nose,231,170,298,236
resize_image20.jpg,509,378,mouth,225,250,307,301
resize_image21.jpg,509,419,eye,107,179,202,217
resize_image21.jpg,509,419,eye,296,137,380,172
resize_image21.jpg,509,419,nose,223,211,324,283
resize_image21.jpg,509,419,mouth,216,298,365,351
resize_image22.jpg,509,379,eye,229,176,287,200
resize_image22.jpg,509,379,eye,353,155,406,182
resize_image22.jpg,509,379,nose,292,217,368,262
resize_image22.jpg,509,379,mouth,273,269,385,322
resize_image23.jpg,509,405,eye,231,121,294,155
resize_image23.jpg,509,405,eye,342,141,382,174
resize_image23.jpg,509,405,nose,295,174,357,220
resize_image23.jpg,509,405,mouth,267,233,357,284
resize_image24.jpg,509,641,eye,117,298,175,332
resize_image24.jpg,509,641,eye,243,308,293,336
resize_image24.jpg,509,641,nose,166,356,240,411
resize_image24.jpg,509,641,mouth,161,421,259,467
resize_image25.jpg,509,764,eye,125,300,211,349
resize_image25.jpg,509,764,eye,315,305,402,347
resize_image25.jpg,509,764,nose,217,375,312,453
resize_image25.jpg,509,764,mouth,200,473,321,531
resize_image26.jpg,509,386,eye,190,133,240,160
resize_image26.jpg,509,386,nose,136,171,187,223
resize_image26.jpg,509,386,mouth,136,242,204,279
resize_image27.jpg,509,403,eye,130,131,193,158
resize_image27.jpg,509,403,eye,267,116,331,143
resize_image27.jpg,509,403,nose,196,181,271,227
resize_image27.jpg,509,403,mouth,188,243,287,287
resize_image28.jpg,509,399,eye,123,135,184,170
resize_image28.jpg,509,399,eye,277,146,352,188
resize_image28.jpg,509,399,nose,171,195,261,264
resize_image28.jpg,509,399,mouth,156,279,264,343
resize_image29.jpg,509,374,eye,131,119,212,157
resize_image29.jpg,509,374,eye,306,129,379,166
resize_image29.jpg,509,374,nose,202,186,307,259
resize_image29.jpg,509,374,mouth,175,272,318,338
resize_image30.jpg,509,424,eye,178,190,241,224
resize_image30.jpg,509,424,eye,319,191,385,223
resize_image30.jpg,509,424,nose,229,246,318,327
resize_image30.jpg,509,424,mouth,214,356,347,399
resize_image31.jpg,509,397,eye,129,139,196,171
resize_image31.jpg,509,397,eye,270,134,331,164
resize_image31.jpg,509,397,nose,188,194,277,250
resize_image31.jpg,509,397,mouth,174,276,298,319
resize_image32.jpg,509,544,eye,188,172,251,203
resize_image32.jpg,509,544,eye,328,178,385,205
resize_image32.jpg,509,544,nose,258,230,321,278
resize_image32.jpg,509,544,mouth,243,299,335,343
resize_image33.jpg,509,529,eye,167,286,218,311
resize_image33.jpg,509,529,eye,288,284,341,307
resize_image33.jpg,509,529,nose,229,336,301,381
resize_image33.jpg,509,529,mouth,212,395,309,427
resize_image34.jpg,509,679,eye,198,310,281,343
resize_image34.jpg,509,679,eye,349,295,416,327
resize_image34.jpg,509,679,nose,292,362,365,417
resize_image34.jpg,509,679,mouth,261,431,386,480
resize_image35.jpg,509,679,eye,134,317,184,347
resize_image35.jpg,509,679,eye,250,303,315,335
resize_image35.jpg,509,679,nose,197,369,261,412
resize_image35.jpg,509,679,mouth,190,428,285,468
resize_image36.jpg,509,509,eye,156,103,209,128
resize_image36.jpg,509,509,eye,263,89,312,110
resize_image36.jpg,509,509,nose,203,143,265,182
resize_image36.jpg,509,509,mouth,185,196,309,249
resize_image37.jpg,509,679,eye,151,335,228,370
resize_image37.jpg,509,679,eye,310,329,376,360
resize_image37.jpg,509,679,nose,243,403,315,461
resize_image37.jpg,509,679,mouth,213,468,337,527
resize_image38.jpg,509,716,eye,157,284,219,317
resize_image38.jpg,509,716,eye,285,287,336,314
resize_image38.jpg,509,716,nose,227,342,285,390
resize_image38.jpg,509,716,mouth,214,412,305,450
resize_image39.jpg,509,509,eye,146,126,216,154
resize_image39.jpg,509,509,eye,273,116,328,145
resize_image39.jpg,509,509,nose,211,167,277,207
resize_image39.jpg,509,509,mouth,194,219,302,273
resize_image40.jpg,509,679,eye,154,297,210,327
resize_image40.jpg,509,679,eye,295,296,352,328
resize_image40.jpg,509,679,nose,215,359,292,416
resize_image40.jpg,509,679,mouth,203,439,312,490
resize_image41.jpg,509,784,eye,99,300,202,339
resize_image41.jpg,509,784,eye,303,299,393,339
resize_image41.jpg,509,784,nose,205,365,303,449
resize_image41.jpg,509,784,mouth,187,481,322,544
resize_image42.jpg,509,679,eye,208,232,275,261
