filename,width,height,class,xmin,ymin,xmax,ymax
resize_image10.jpg,193,108,eye,89,28,97,35
resize_image10.jpg,193,108,eye,109,26,120,32
resize_image10.jpg,193,108,nose,99,35,111,48
resize_image10.jpg,193,108,mouth,96,50,113,59
resize_image11.jpg,193,132,eye,27,49,40,57
resize_image11.jpg,193,132,eye,55,48,69,56
resize_image11.jpg,193,132,nose,40,60,56,73
resize_image11.jpg,193,132,mouth,36,76,59,85
resize_image11.jpg,193,132,eye,117,49,131,58
resize_image11.jpg,193,132,eye,146,51,160,58
resize_image11.jpg,193,132,nose,131,63,147,74
resize_image11.jpg,193,132,mouth,127,77,151,87
resize_image12.jpg,193,193,eye,72,56,89,66
resize_image12.jpg,193,193,eye,108,55,121,63
resize_image12.jpg,193,193,nose,88,72,108,85
resize_image12.jpg,193,193,mouth,85,91,114,103
resize_image13.jpg,193,193,eye,56,78,83,93
resize_image13.jpg,193,193,eye,113,78,136,93
resize_image13.jpg,193,193,nose,87,101,113,127
resize_image13.jpg,193,193,mouth,74,138,123,155
resize_image14.jpg,193,193,eye,62,80,87,90
resize_image14.jpg,193,193,eye,111,77,134,89
resize_image14.jpg,193,193,nose,89,95,109,112
resize_image14.jpg,193,193,mouth,83,117,117,138
resize_image15.jpg,193,193,eye,66,66,83,76
resize_image15.jpg,193,193,eye,102,63,119,73
resize_image15.jpg,193,193,nose,84,80,102,94
resize_image15.jpg,193,193,mouth,81,97,106,108
resize_image16.jpg,193,193,eye,48,45,74,59
resize_image16.jpg,193,193,eye,103,42,124,56
resize_image16.jpg,193,193,nose,73,69,102,89
resize_image16.jpg,193,193,mouth,69,102,111,123
resize_image17.jpg,193,193,eye,29,79,49,90
resize_image17.jpg,193,193,nose,10,97,28,115
resize_image17.jpg,193,193,mouth,1,121,34,137
resize_image17.jpg,193,193,eye,141,80,162,90
resize_image17.jpg,193,193,nose,162,98,184,116
resize_image17.jpg,193,193,mouth,156,123,190,138
resize_image18.jpg,193,193,eye,76,54,89,62
resize_image18.jpg,193,193,eye,107,54,121,63
resize_image18.jpg,193,193,nose,91,68,105,78
resize_image18.jpg,193,193,mouth,85,82,109,93
resize_image19.jpg,193,193,eye,29,60,39,67
resize_image19.jpg,193,193,eye,53,61,65,69
resize_image19.jpg,193,193,nose,42,70,54,81
resize_image19.jpg,193,193,mouth,37,84,58,91
resize_image19.jpg,193,193,mouth,137,86,156,96
resize_image19.jpg,193,193,mouth,140,69,153,82
resize_image20.jpg,193,193,eye,108,52,129,64
resize_image20.jpg,193,193,nose,82,74,106,91
resize_image20.jpg,193,193,mouth,76,95,116,112
resize_image21.jpg,193,193,eye,57,64,76,76
resize_image21.jpg,193,193,eye,98,71,120,81
resize_image21.jpg,193,193,nose,75,85,98,101
resize_image21.jpg,193,193,mouth,63,106,105,120
resize_image22.jpg,193,193,eye,72,43,92,53
